Start Season Year,Educational,Parody,Team Sports,no_genre,Iyashikei,Love Polygon,Kids,Pets,Supernatural,Medical,Anthropomorphic,Mahou Shoujo,Showbiz,Action,Suspense,Psychological,Strategy Game,Organized Crime,Delinquents,Mecha,Idols (Female),Girls Love,Reincarnation,Military,Idols (Male),Sci-Fi,Reverse Harem,Slice of Life,Historical,Detective,Boys Love,Romance,Otaku Culture,Visual Arts,Shoujo,Martial Arts,Love Status Quo,Racing,Horror,Mythology,Isekai,Space,Magical Sex Shift,Gag Humor,Avant Garde,Fantasy,Harem,Combat Sports,Adult Cast,Ecchi,Award Winning,Performing Arts,Survival,Samurai,Super Power,Drama,Seinen,Sports,Time Travel,Crossdressing,Villainess,Video Game,Vampire,Gore,Music,CGDCT,Adventure,School,Comedy,Childcare,Josei,Workplace,Gourmet,Shounen,Urban Fantasy,Mystery,High Stakes Game
1999.0,0,2,0,0,0,0,55,0,1,0,7,0,1,110,1,14,0,0,3,22,0,0,0,8,0,38,0,37,1,1,0,4,0,0,1,0,0,0,2,1,2,6,0,2,0,101,1,0,17,1,2,0,1,0,0,16,8,0,0,0,0,0,1,1,5,0,122,4,86,0,0,3,0,91,0,15,0
2000.0,1,11,0,0,1,16,94,5,24,4,24,1,1,121,6,9,23,0,1,37,0,0,3,8,0,83,0,5,33,5,2,37,0,1,16,4,0,16,21,33,8,14,0,9,16,103,1,6,4,5,7,2,0,6,12,47,9,10,16,0,0,4,11,3,25,1,148,14,146,12,0,0,1,79,0,18,0
2001.0,2,10,8,0,0,2,70,7,22,1,2,4,0,88,2,3,11,2,0,33,2,1,0,12,0,88,1,22,19,4,0,46,2,1,21,6,0,3,6,6,7,18,0,5,1,93,6,5,8,9,5,0,0,1,8,73,13,35,1,1,0,0,2,5,14,1,110,40,143,1,0,1,0,69,0,12,2
2002.0,0,10,10,0,1,6,46,4,31,0,6,14,5,154,9,9,5,3,0,48,0,0,1,22,0,121,0,42,13,16,2,73,6,0,23,20,0,4,6,12,14,27,4,8,3,115,6,4,8,15,18,5,0,4,10,88,25,16,1,0,0,13,0,4,22,2,149,37,196,0,0,1,3,85,0,35,0
2003.0,0,11,2,0,1,2,40,1,29,1,8,2,0,132,4,7,5,5,2,35,0,1,0,12,0,123,0,12,20,10,0,54,2,0,8,8,0,9,5,21,2,9,0,13,3,83,7,3,9,9,9,6,0,5,20,75,15,11,2,0,0,2,2,8,13,1,133,14,144,1,3,2,0,86,0,20,0
2004.0,0,33,4,0,1,1,33,2,49,6,2,11,0,146,17,24,16,3,2,44,0,8,1,30,0,101,2,9,26,9,1,40,4,1,22,7,0,11,9,8,9,17,0,7,3,72,4,2,18,10,9,2,3,9,11,93,34,8,4,0,0,0,2,6,11,0,128,25,149,2,4,1,5,117,0,28,3
2005.0,0,11,11,0,8,3,69,0,28,3,52,12,4,84,8,10,9,4,0,30,0,0,0,21,0,103,0,11,24,5,3,61,1,9,19,5,0,9,9,5,12,9,0,4,2,82,8,0,20,12,5,4,0,4,22,83,61,20,4,0,0,2,6,15,8,1,80,25,184,0,5,0,2,103,2,24,2
2006.0,0,20,3,0,3,8,54,4,40,3,10,11,5,139,12,13,13,15,0,23,2,7,1,21,0,75,10,10,31,6,1,63,4,2,31,12,0,4,17,16,8,7,0,19,2,104,7,2,34,5,6,3,0,16,21,69,27,9,2,4,0,0,9,11,16,1,94,31,167,0,2,4,2,81,9,24,0
2007.0,0,6,3,0,8,0,17,0,19,0,2,6,0,100,13,11,7,2,1,30,1,0,0,14,0,53,5,11,20,7,0,33,1,4,11,37,0,4,12,3,2,11,1,3,1,91,8,2,16,12,6,0,0,4,10,47,24,11,3,0,0,0,2,7,10,6,81,28,86,0,2,2,2,64,5,28,2
2008.0,4,24,13,0,5,9,28,1,27,0,1,10,3,90,13,10,17,2,0,18,1,2,0,10,0,44,0,19,18,4,2,37,1,3,14,8,0,0,8,9,5,6,0,8,0,61,7,0,14,15,4,0,0,4,19,40,23,16,1,0,0,2,5,4,8,4,63,48,116,1,2,1,0,53,7,14,0
