id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,broadcast,source,average_episode_duration,rating,background,studios,statistics,bypopularity_ranking
16498,Shingeki no Kyojin,"{'medium': 'https://cdn.myanimelist.net/images/anime/10/47347.webp', 'large': 'https://cdn.myanimelist.net/images/anime/10/47347l.webp'}",2013-04-07,2013-09-29,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]",8.55,117.0,1,4074761,2877072,white,2012-12-05T12:03:21+00:00,2024-08-17T18:09:07+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}, {'id': 76, 'name': 'Survival'}, {'id': 41, 'name': 'Suspense'}]",25,"{'year': 2013, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '01:58'}",manga,1440,r,Shingeki no Kyojin adapts content from the first eight volumes of Hajime Isayama's award-winning manga of the same name. The anime won the Animation of the Year in the Television category at the Tokyo Anime Award Festival in 2014.,"[{'id': 858, 'name': 'Wit Studio'}]","{'status': {'watching': '205687', 'completed': '3576568', 'on_hold': '52261', 'dropped': '62620', 'plan_to_watch': '177488'}, 'num_list_users': 4074624}",1
1535,Death Note,"{'medium': 'https://cdn.myanimelist.net/images/anime/1079/138100.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1079/138100l.jpg'}",2006-10-04,2007-06-27,"Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.

For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.

Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.

[Written by MAL Rewrite]
",8.62,88.0,2,4023422,2821896,white,2006-10-04T03:39:19+00:00,2024-03-06T11:24:14+00:00,tv,finished_airing,"[{'id': 40, 'name': 'Psychological'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",37,"{'year': 2006, 'season': 'fall'}","{'day_of_the_week': 'wednesday', 'start_time': '00:56'}",manga,1380,r,,"[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '198848', 'completed': '3348716', 'on_hold': '111727', 'dropped': '122544', 'plan_to_watch': '241467'}, 'num_list_users': 4023302}",2
5114,Fullmetal Alchemist: Brotherhood,"{'medium': 'https://cdn.myanimelist.net/images/anime/1208/94745.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1208/94745l.jpg'}",2009-04-05,2010-07-04,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",9.1,2.0,3,3449576,2176872,white,2008-08-21T03:35:22+00:00,2023-04-02T18:07:03+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}]",64,"{'year': 2009, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '17:00'}",manga,1460,r,,"[{'id': 4, 'name': 'Bones'}]","{'status': {'watching': '266740', 'completed': '2493287', 'on_hold': '115523', 'dropped': '61447', 'plan_to_watch': '512493'}, 'num_list_users': 3449490}",3
30276,One Punch Man,"{'medium': 'https://cdn.myanimelist.net/images/anime/12/76049.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/12/76049l.jpg'}",2015-10-05,2015-12-21,"The seemingly unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, Saitama relentlessly trained for three years, losing all of his hair in the process. Now, Saitama is so powerful, he can defeat any enemy with just one punch. However, having no one capable of matching his strength has led Saitama to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.

One day, Saitama catches the attention of 19-year-old cyborg Genos, who witnesses his power and wishes to become Saitama's disciple. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society. Saitama, who is shocked that no one knows who he is, quickly agrees. Meeting new allies and taking on new foes, Saitama embarks on a new journey as a member of the Hero Association to experience the excitement of battle he once felt.

[Written by MAL Rewrite]",8.49,147.0,4,3318935,2295169,white,2015-03-07T09:52:13+00:00,2023-01-13T14:42:05+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 4, 'name': 'Comedy'}, {'id': 20, 'name': 'Parody'}, {'id': 42, 'name': 'Seinen'}, {'id': 31, 'name': 'Super Power'}]",12,"{'year': 2015, 'season': 'fall'}","{'day_of_the_week': 'monday', 'start_time': '01:05'}",web_manga,1460,r,"Episodes 1 and 2 were previewed at a screening in Saitama city cultural center (small hall) on September 6, 2015. Regular broadcasting began on October 5, 2015.

One Punch Man is based on Yusuke Murata's manga remake of ONE's original web comic. The anime adapts the first seven volumes of the manga.","[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '141172', 'completed': '2898976', 'on_hold': '45564', 'dropped': '42005', 'plan_to_watch': '191097'}, 'num_list_users': 3318814}",4
38000,Kimetsu no Yaiba,"{'medium': 'https://cdn.myanimelist.net/images/anime/1286/99889.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1286/99889l.jpg'}",2019-04-06,2019-09-28,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.

When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.

[Written by MAL Rewrite]",8.45,163.0,5,3168484,2179203,white,2018-07-21T05:29:59+00:00,2024-11-17T15:10:57+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",26,"{'year': 2019, 'season': 'spring'}","{'day_of_the_week': 'saturday', 'start_time': '23:30'}",manga,1420,r,"The anime covers chapters 1 to 53 of the manga.

Kimetsu no Yaiba won the Animation of the Year award in the Television category at the Tokyo Anime Award Festival in 2020.","[{'id': 43, 'name': 'ufotable'}]","{'status': {'watching': '222275', 'completed': '2668381', 'on_hold': '44852', 'dropped': '44654', 'plan_to_watch': '188195'}, 'num_list_users': 3168357}",5
11757,Sword Art Online,"{'medium': 'https://cdn.myanimelist.net/images/anime/11/39717.webp', 'large': 'https://cdn.myanimelist.net/images/anime/11/39717l.webp'}",2012-07-08,2012-12-23,"Ever since the release of the innovative NerveGear, gamers from all around the globe have been given the opportunity to experience a completely immersive virtual reality. Sword Art Online (SAO), one of the most recent games on the console, offers a gateway into the wondrous world of Aincrad, a vivid, medieval landscape where users can do anything within the limits of imagination. With the release of this worldwide sensation, gaming has never felt more lifelike.

However, the idyllic fantasy rapidly becomes a brutal nightmare when SAO's creator traps thousands of players inside the game. The ""log-out"" function has been removed, with the only method of escape involving beating all of Aincrad's one hundred increasingly difficult levels. Adding to the struggle, any in-game death becomes permanent, ending the player's life in the real world.

While Kazuto ""Kirito"" Kirigaya was fortunate enough to be a beta-tester for the game, he quickly finds that despite his advantages, he cannot overcome SAO's challenges alone. Teaming up with Asuna Yuuki and other talented players, Kirito makes an effort to face the seemingly insurmountable trials head-on. But with difficult bosses and threatening dark cults impeding his progress, Kirito finds that such tasks are much easier said than done.

[Written by MAL Rewrite]",7.21,3271.0,6,3151402,2191791,white,2011-10-09T11:25:17+00:00,2022-12-30T23:42:50+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 22, 'name': 'Romance'}, {'id': 79, 'name': 'Video Game'}]",25,"{'year': 2012, 'season': 'summer'}","{'day_of_the_week': 'sunday', 'start_time': '00:00'}",light_novel,1420,pg_13,,"[{'id': 56, 'name': 'A-1 Pictures'}]","{'status': {'watching': '115445', 'completed': '2698336', 'on_hold': '37111', 'dropped': '130063', 'plan_to_watch': '170294'}, 'num_list_users': 3151249}",6
31964,Boku no Hero Academia,"{'medium': 'https://cdn.myanimelist.net/images/anime/10/78745.webp', 'large': 'https://cdn.myanimelist.net/images/anime/10/78745l.webp'}",2016-04-03,2016-06-26,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

[Written by MAL Rewrite]",7.85,918.0,7,3114880,2120861,white,2015-10-27T08:31:53+00:00,2023-04-02T18:47:36+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",13,"{'year': 2016, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '17:00'}",manga,1470,pg_13,"Mangaka Horikoushi Kouhei has noted that American superhero comics are the inspiration for the series, and has based character pages on logos for Marvel and DC comic characters.","[{'id': 4, 'name': 'Bones'}]","{'status': {'watching': '136945', 'completed': '2727874', 'on_hold': '30983', 'dropped': '44505', 'plan_to_watch': '174483'}, 'num_list_users': 3114790}",7
11061,Hunter x Hunter (2011),"{'medium': 'https://cdn.myanimelist.net/images/anime/1337/99013.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1337/99013l.jpg'}",2011-10-02,2014-09-24,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]",9.03,9.0,8,2945832,1829281,white,2011-07-27T08:41:39+00:00,2023-09-30T15:05:19+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",148,"{'year': 2011, 'season': 'fall'}","{'day_of_the_week': 'sunday', 'start_time': '10:55'}",manga,1417,pg_13,,"[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '363676', 'completed': '2005920', 'on_hold': '143175', 'dropped': '63154', 'plan_to_watch': '369796'}, 'num_list_users': 2945721}",8
20,Naruto,"{'medium': 'https://cdn.myanimelist.net/images/anime/1141/142503.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1141/142503l.jpg'}",2002-10-03,2007-02-08,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto.

In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes.

[Written by MAL Rewrite]",8.0,668.0,9,2936642,2024775,white,2005-11-11T01:19:57+00:00,2024-04-07T20:24:29+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 27, 'name': 'Shounen'}]",220,"{'year': 2002, 'season': 'fall'}","{'day_of_the_week': 'thursday', 'start_time': '19:30'}",manga,1404,pg_13,"Naruto adapts the first 27 volumes of the original manga.

It received numerous awards during its airing, including the ""Best Full-Length Animation Program Award"" in the Third UStv Awards and the 38th ""Best Animated Show"" in IGN's Top 100 Animated Series.","[{'id': 1, 'name': 'Pierrot'}]","{'status': {'watching': '211928', 'completed': '2388547', 'on_hold': '94359', 'dropped': '134187', 'plan_to_watch': '107536'}, 'num_list_users': 2936557}",9
22319,Tokyo Ghoul,"{'medium': 'https://cdn.myanimelist.net/images/anime/1498/134443.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1498/134443l.jpg'}",2014-07-04,2014-09-19,"A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date.

While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body.

Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them.

[Written by MAL Rewrite]",7.79,1046.0,10,2896600,1907756,white,2014-01-29T09:14:28+00:00,2024-10-02T16:19:27+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 58, 'name': 'Gore'}, {'id': 14, 'name': 'Horror'}, {'id': 40, 'name': 'Psychological'}, {'id': 42, 'name': 'Seinen'}, {'id': 41, 'name': 'Suspense'}, {'id': 82, 'name': 'Urban Fantasy'}]",12,"{'year': 2014, 'season': 'summer'}","{'day_of_the_week': 'friday', 'start_time': '00:00'}",manga,1440,r,,"[{'id': 1, 'name': 'Pierrot'}]","{'status': {'watching': '110516', 'completed': '2450759', 'on_hold': '37007', 'dropped': '60728', 'plan_to_watch': '237485'}, 'num_list_users': 2896495}",10
