id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,source,average_episode_duration,rating,background,studios,statistics,movie_ranking
39486,Gintama: The Final,"{'medium': 'https://cdn.myanimelist.net/images/anime/1245/116760.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1245/116760l.jpg'}",2021-01-08,2021-01-08,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.

[Written by MAL Rewrite]
",9.04,7,1537,160484,76758,white,2019-03-07T20:54:42+00:00,2023-04-02T18:10:44+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2021, 'season': 'winter'}",manga,6240,pg_13,"As of March 2021, Gintama: The Final has earned a franchise record of 1.85 billion yen (16.94 million USD) and debuted at No. 1 at the Japanese box office. The film concludes the Gintama anime series, adapting chapters 699-704 of the original manga with new story elements.","[{'id': 1258, 'name': 'Bandai Namco Pictures'}]","{'status': {'watching': '7246', 'completed': '88689', 'on_hold': '1707', 'dropped': '1574', 'plan_to_watch': '61259'}, 'num_list_users': 160475}",1
28851,Koe no Katachi,"{'medium': 'https://cdn.myanimelist.net/images/anime/1122/96435.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1122/96435l.jpg'}",2016-09-17,2016-09-17,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.
 
[Written by MAL Rewrite]",8.93,19,20,2419998,1670366,white,2014-12-15T08:00:46+00:00,2024-09-16T20:40:52+00:00,movie,finished_airing,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2016, 'season': 'summer'}",manga,7803,pg_13,Koe no Katachi won the following awards: Japanese Movie Critics Awards for Best Animation Feature Film in 2016; Japanese Academy Award for Excellent Animation of the Year in 2016; Tokyo Anime Award Festival for Anime of the Year (movie) & Best Screenplay / Original Story (Reiko Yoshida) in 2017; Japan Media Arts Festival for Animation Division - Excellence Award in 2017; Japan Movie Critics Awards for Best Animation of the Year in 2017; and Camera Japan Festival for Feature Film in 2017.,"[{'id': 2, 'name': 'Kyoto Animation'}]","{'status': {'watching': '51746', 'completed': '2079147', 'on_hold': '6795', 'dropped': '3424', 'plan_to_watch': '278740'}, 'num_list_users': 2419852}",2
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"{'medium': 'https://cdn.myanimelist.net/images/anime/10/51723.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/51723l.jpg'}",2013-07-06,2013-07-06,"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.

Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.

[Written by MAL Rewrite]",8.9,22,1027,247061,138344,white,2012-08-26T22:06:53+00:00,2024-05-08T21:23:59+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 78, 'name': 'Time Travel'}]",1,"{'year': 2013, 'season': 'summer'}",manga,6600,pg_13,,"[{'id': 14, 'name': 'Sunrise'}]","{'status': {'watching': '5584', 'completed': '175070', 'on_hold': '1821', 'dropped': '1845', 'plan_to_watch': '62736'}, 'num_list_users': 247056}",3
37987,Violet Evergarden Movie,"{'medium': 'https://cdn.myanimelist.net/images/anime/1825/110716.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1825/110716l.jpg'}",2020-09-18,2020-09-18,"Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.

Violet Evergarden Movie follows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.

[Written by MAL Rewrite]",8.85,28,343,648702,296587,white,2018-07-21T02:48:46+00:00,2024-10-04T16:04:05+00:00,movie,finished_airing,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}]",1,"{'year': 2020, 'season': 'summer'}",light_novel,8400,pg_13,Winner of the Excellence Award at the 24th Japan Media Arts Festival. It also won the Animation of the Year award in the Film category at the Tokyo Anime Award Festival in 2021.,"[{'id': 2, 'name': 'Kyoto Animation'}]","{'status': {'watching': '18369', 'completed': '382197', 'on_hold': '5273', 'dropped': '2138', 'plan_to_watch': '240692'}, 'num_list_users': 648669}",4
32281,Kimi no Na wa.,"{'medium': 'https://cdn.myanimelist.net/images/anime/5/87048.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/5/87048l.jpg'}",2016-08-26,2016-08-26,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.

Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.

[Written by MAL Rewrite]",8.83,29,11,2834958,1959014,white,2015-12-10T09:41:12+00:00,2024-10-04T00:35:05+00:00,movie,finished_airing,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}]",1,"{'year': 2016, 'season': 'summer'}",original,6391,pg_13,Kimi no Na wa. won the LAFCA Animation Award in 2016 and the Best Animated Film in 2017 by Mainichi Film Awards. It also won the Grand Prize Award on the 20th Japan Media Arts Festival.,"[{'id': 291, 'name': 'CoMix Wave Films'}]","{'status': {'watching': '64225', 'completed': '2455019', 'on_hold': '7441', 'dropped': '4062', 'plan_to_watch': '304078'}, 'num_list_users': 2834825}",5
31758,Kizumonogatari III: Reiketsu-hen,"{'medium': 'https://cdn.myanimelist.net/images/anime/1084/112813.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1084/112813l.webp'}",2017-01-06,2017-01-06,"After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power. 

Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.

But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?

Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…

[Written by MAL Rewrite]",8.78,35,491,479810,279698,white,2015-10-03T17:22:50+00:00,2023-09-10T04:31:33+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",1,"{'year': 2017, 'season': 'winter'}",light_novel,4980,r,The Kizumonogatari movie trilogy adapts the third volume of NisiOisiN's Monogatari Series: First Season.,"[{'id': 44, 'name': 'Shaft'}]","{'status': {'watching': '11963', 'completed': '352000', 'on_hold': '3083', 'dropped': '1648', 'plan_to_watch': '111087'}, 'num_list_users': 479781}",6
199,Sen to Chihiro no Kamikakushi,"{'medium': 'https://cdn.myanimelist.net/images/anime/6/79597.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/79597l.jpg'}",2001-07-20,2001-07-20,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.

Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.

[Written by MAL Rewrite]",8.77,41,44,1911875,1336856,white,2005-11-12T07:05:54+00:00,2024-11-26T03:03:29+00:00,movie,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 10, 'name': 'Fantasy'}, {'id': 6, 'name': 'Mythology'}]",1,"{'year': 2001, 'season': 'summer'}",original,7475,pg,"Sen to Chihiro no Kamikakushi held the record of being the highest-grossing film in Japanese history from 2001 until 2020. As of December 2020, it has amassed a total of 31.68 billion yen from Japanese box office sales and a total of $395.8 million worldwide. 

This critically acclaimed film has won numerous awards, including the Academy Award—more commonly known as the ""Oscar""—for Best Animated Feature at the 75th Academy Awards in 2003 as well as the Golden Bear at the 2002 Berlin International Film Festival (alongside Bloody Sunday). It is also among the top 10 in the British Film Institute's list of the ""50 films you should see by the age of 14."" 

The English version of Sen to Chihiro no Kamikakushi was dubbed by Walt Disney Pictures and premiered in 2002. The film was released on DVD and VHS formats in North America by Buena Vista Home Entertainment in 2003.","[{'id': 21, 'name': 'Studio Ghibli'}]","{'status': {'watching': '26676', 'completed': '1728916', 'on_hold': '4897', 'dropped': '2271', 'plan_to_watch': '149047'}, 'num_list_users': 1911807}",7
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"{'medium': 'https://cdn.myanimelist.net/images/anime/1670/130060.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1670/130060l.jpg'}",2022-12-17,2022-12-17,"After their first kiss, Kaguya Shinomiya and Miyuki Shirogane are left unsure where their relationship stands. The troubling uncertainty of whether they could be considered an official couple unleashes newfound problems as both Kaguya and Shirogane struggle to sort out their feelings.

While the lovestruck student council officers fret, the Christmas season rolls around, and romance is in the air. In the face of widespread tenderness, Kaguya and Shirogane must endure their affectionate battle of wits once more. Should they reconcile their feelings for one another, they may find themselves within reach of what they have both been longing for so long: true love.

[Written by MAL Rewrite]",8.75,47,847,303896,167645,white,2022-06-24T16:12:12+00:00,2024-06-24T06:15:47+00:00,movie,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}]",1,"{'year': 2022, 'season': 'fall'}",manga,5760,pg_13,,"[{'id': 56, 'name': 'A-1 Pictures'}]","{'status': {'watching': '10361', 'completed': '212892', 'on_hold': '2239', 'dropped': '764', 'plan_to_watch': '77605'}, 'num_list_users': 303861}",8
45649,The First Slam Dunk,"{'medium': 'https://cdn.myanimelist.net/images/anime/1745/129284.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1745/129284l.webp'}",2022-12-03,2022-12-03,"Shohoku's ""speedster"" and point guard, Ryouta Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. Born and raised in Okinawa, Ryouta had a brother who was three years older. Following in the footsteps of his older brother, who was a famous local player from a young age, Ryouta also became addicted to basketball.

In his second year of high school, Ryouta plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.

(Source: GKIDS, edited)",8.74,48,3066,56492,24502,white,2021-01-07T05:16:26+00:00,2024-04-05T19:47:22+00:00,movie,finished_airing,"[{'id': 46, 'name': 'Award Winning'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",1,"{'year': 2022, 'season': 'fall'}",manga,7440,pg_13,"The movie adapts chapters 223 to 276 from the manga while incorporating original scenes created for the film.

It won the Best Animation of the Year award at the Japan Academy Film Prize in 2023.  It also won the awards for Anime of the Year - Film, Best Director, Best Writer, and Best Visual Arts at the 2024 Tokyo Anime Award Festival.","[{'id': 18, 'name': 'Toei Animation'}, {'id': 1111, 'name': 'DandeLion Animation Studio'}]","{'status': {'watching': '2365', 'completed': '29112', 'on_hold': '542', 'dropped': '364', 'plan_to_watch': '24103'}, 'num_list_users': 56486}",9
58125,Look Back,"{'medium': 'https://cdn.myanimelist.net/images/anime/1716/142633.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1716/142633l.jpg'}",2024-06-28,2024-06-28,"Ayumu Fujino may only be in the fourth grade, but she already basks in high praise for her hand-drawn four-panel comics featured in the school's newspaper. However, when she is asked to share the page with Kyoumoto—a reclusive student she has never met—Fujino feels inadequate for the first time: her free-spirited drawings look embarrassingly amateurish next to Kyoumoto's breathtakingly detailed art.

For a year, Fujino shuts out the world, obsessively studying manga creation and drawing tirelessly to catch up to her faceless competition. But Kyoumoto's talent far exceeds hers, and Fujino quits it all. Another year passes, and on the day of their graduation, Fujino finally meets Kyoumoto. This unkempt, shy, and stuttering girl has actually been Fujino's biggest fan all along. Their encounter reignites Fujino's passion for art and sparks the beginning of a years-long friendship built on rivalry, admiration, and their shared love of manga.

[Written by MAL Rewrite]",8.72,57,2047,110810,52098,white,2024-02-13T15:24:58+00:00,2024-11-30T22:43:08+00:00,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 69, 'name': 'Otaku Culture'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2024, 'season': 'spring'}",manga,3433,pg_13,,"[{'id': 2196, 'name': 'Studio DURIAN'}]","{'status': {'watching': '4207', 'completed': '59394', 'on_hold': '727', 'dropped': '110', 'plan_to_watch': '46366'}, 'num_list_users': 110804}",10
