id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,source,average_episode_duration,rating,background,studios,statistics,ova_ranking
820,Ginga Eiyuu Densetsu,"{'medium': 'https://cdn.myanimelist.net/images/anime/1976/142016.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1976/142016l.jpg'}",1988-01-08,1997-03-17,"The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.

While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.

As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.

[Written by MAL Rewrite]",9.01,12,758,333996,81737,white,2006-03-15T19:37:04+00:00,2024-11-26T18:48:06+00:00,ova,finished_airing,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",110,"{'year': 1988, 'season': 'winter'}",novel,1560,r,"Legend of the Galactic Heroes was adapted from a series of ten novels, published 1982–87, by Yoshiki Tanaka. The novels won the Seiun Award for the best long-form Japanese science fiction in 1988.

At the start of its production the anime was distributed through a subscription system in which episodes were mailed to existing fans of the novels. It was made in four separate tranches over nearly a decade, with the production of side-stories continuing for several further years. The main series has the largest voice cast of any anime, with well over 300 voice actors, and it is the longest OVA series ever made.

The novels have also been adapted into a manga, a stage musical by the Takarazuka Revue and a number of games.","[{'id': 1269, 'name': 'K-Factory'}, {'id': 2256, 'name': 'Kitty Film Mitaka Studio'}]","{'status': {'watching': '35292', 'completed': '74880', 'on_hold': '20469', 'dropped': '8978', 'plan_to_watch': '194368'}, 'num_list_users': 333987}",1
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"{'medium': 'https://cdn.myanimelist.net/images/anime/1656/137618.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1656/137618l.jpg'}",1999-02-20,1999-09-22,"When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute.

Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions.

[Written by MAL Rewrite]",8.7,65,908,281919,140246,white,2005-11-11T05:54:34+00:00,2023-12-14T09:55:38+00:00,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 22, 'name': 'Romance'}, {'id': 21, 'name': 'Samurai'}, {'id': 27, 'name': 'Shounen'}]",4,"{'year': 1999, 'season': 'winter'}",manga,1747,r,,"[{'id': 37, 'name': 'Studio Deen'}]","{'status': {'watching': '9039', 'completed': '180993', 'on_hold': '3851', 'dropped': '2430', 'plan_to_watch': '85595'}, 'num_list_users': 281908}",2
25781,Shingeki no Kyojin: Kuinaki Sentaku,"{'medium': 'https://cdn.myanimelist.net/images/anime/8/69497.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/69497l.jpg'}",2014-12-09,2015-04-09,"Many years before becoming the famed captain of the Survey Corps, a young Levi struggles to survive in the capital's garbage dump, the Underground. As the boss of his own criminal operation, Levi attempts to get by with meager earnings while aided by fellow criminals, Isabel Magnolia and Farlan Church. With little hope for the future, Levi accepts a deal from the anti-expedition faction leader Nicholas Lobov, who promises the trio citizenship aboveground if they are able to successfully assassinate Erwin Smith, a squad leader of the Survey Corps.

As Levi and Erwin cross paths, Erwin acknowledges Levi's agility and skill and gives him the option to either become part of the expedition team, or be turned over to the Military Police, to atone for his crimes. Now closer to the man they are tasked to kill, the group plans to complete their mission and save themselves from a grim demise in the dim recesses of their past home. However, they are about to learn that the surface world is not as liberating as they had thought and that sometimes, freedom can come at a heavy price.

Based on the popular spin-off manga of the same name, Shingeki no Kyojin: Kuinaki Sentaku illustrates the encounter between two of Shingeki no Kyojin's pivotal characters, as well as the events of the 23rd expedition beyond the walls.

[Written by MAL Rewrite]",8.41,191,435,533815,318755,white,2014-08-05T07:40:02+00:00,2023-01-24T00:23:07+00:00,ova,finished_airing,"[{'id': 1, 'name': 'Action'}]",2,"{'year': 2014, 'season': 'fall'}",visual_novel,1620,r,"Shingeki no Kyojin: Kuinaki Sentaku is based on the visual novel of the same name. The visual novel was bundled with the first press release of the 6th Blu-ray volume of the anime's 1st season and was supervised by Shingeki no Kyojin creator Hajime Isayama. It was later adapted into a 2-volume manga series which was serialized in shoujo magazine ARIA and illustrated by Hikaru Suruga.

The OVA was released for the Western audience when bundled with Kodansha Comics USA's Attack on Titan Special Edition manga. The first part of the OVA was included with the manga's 18th volume on April 5, 2016 while the second part was included with the 19th volume's release on August 2, 2016.","[{'id': 858, 'name': 'Wit Studio'}]","{'status': {'watching': '11438', 'completed': '454838', 'on_hold': '3297', 'dropped': '1535', 'plan_to_watch': '62691'}, 'num_list_users': 533799}",3
30709,Kamisama Hajimemashita: Kako-hen,"{'medium': 'https://cdn.myanimelist.net/images/anime/3/81250.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/81250l.jpg'}",2015-08-20,2016-08-19,"While playing in the snow one day at her shrine, the land god Nanami Momozono witnesses her familiar—the fox youkai Tomoe—collapse, with dark markings appearing on his body. Tomoe's former master, Lord Mikage, appears after his long absence and places Tomoe into a magical pocket mirror in order to stave off his ailment.

Mikage explains that long ago, before he and Tomoe had met, the fox youkai was in love with a human woman. Seeking to live as a human with his beloved, he made a deal with a fallen god, but he only ended up cursed and dying. When Mikage discovered Tomoe, the god made the youkai forget his human love as a quick solution. However, something has changed recently to reactivate the curse; Tomoe has fallen in love with his new human master, Nanami. Since there is no way to stop the curse, Nanami wants to stop Tomoe from getting cursed in the first place by traveling back through time, even if it means they may never meet. As Nanami travels back hundreds of years to save her precious familiar, she discovers that she is far more closely bonded to Tomoe than she previously thought.

[Written by MAL Rewrite]",8.4,194,1429,173608,85782,white,2015-05-01T18:11:32+00:00,2024-10-06T16:30:15+00:00,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 6, 'name': 'Mythology'}, {'id': 22, 'name': 'Romance'}, {'id': 25, 'name': 'Shoujo'}, {'id': 37, 'name': 'Supernatural'}, {'id': 78, 'name': 'Time Travel'}]",4,"{'year': 2015, 'season': 'summer'}",manga,1800,pg_13,,"[{'id': 73, 'name': 'TMS Entertainment'}]","{'status': {'watching': '9166', 'completed': '124975', 'on_hold': '2728', 'dropped': '1555', 'plan_to_watch': '35178'}, 'num_list_users': 173602}",4
32366,Gintama°: Aizome Kaori-hen,"{'medium': 'https://cdn.myanimelist.net/images/anime/1962/133573.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1962/133573l.jpg'}",2016-08-04,2016-11-04,"The red-light district, Yoshiwara, is suddenly taken over by ""Aizen Kou,"" an incense that has the ability to make anyone fall in love with the first person they see. Having been outlawed for its strong potency, the love drug was thought to have disappeared from the red-light district for good; however, it seems to have found its way back inside Yoshiwara's walls and now has the entire district under its influence.

Of those affected is the cold-hearted Hyakka captain, Tsukuyo, and the first person she sees after inhaling the smoke is none other than the brazen Yorozuya leader, Gintoki Sakata. Unbeknownst to everyone else though, she was already attracted to Gintoki. With those hidden feelings now intensified, Tsukuyo must overcome her afflictions and work with the Yorozuya to return everyone back to normal. 

[Written by MAL Rewrite]",8.38,211,2355,88167,46670,white,2015-12-19T19:50:10+00:00,2023-01-24T00:15:46+00:00,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 20, 'name': 'Parody'}, {'id': 27, 'name': 'Shounen'}]",2,"{'year': 2016, 'season': 'summer'}",manga,1555,pg_13,,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]","{'status': {'watching': '3135', 'completed': '62995', 'on_hold': '972', 'dropped': '722', 'plan_to_watch': '20338'}, 'num_list_users': 88162}",5
777,Hellsing Ultimate,"{'medium': 'https://cdn.myanimelist.net/images/anime/1012/143965.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1012/143965l.jpg'}",2006-02-10,2012-12-26,"There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead.

Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil.

In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare.

[Written by MAL Rewrite]",8.35,236,182,960650,497186,white,2006-02-21T08:28:24+00:00,2024-07-02T11:54:33+00:00,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 58, 'name': 'Gore'}, {'id': 14, 'name': 'Horror'}, {'id': 38, 'name': 'Military'}, {'id': 42, 'name': 'Seinen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",10,"{'year': 2006, 'season': 'winter'}",manga,2962,r,Hellsing Ultimate was initially licensed and distributed by Geneon Entertainment USA up until their closure in late 2007. FUNimation Entertainment later picked up the series and finished dubbing it in late 2014. ,"[{'id': 11, 'name': 'Madhouse'}, {'id': 41, 'name': 'Satelight'}, {'id': 894, 'name': 'Graphinica'}]","{'status': {'watching': '81678', 'completed': '580223', 'on_hold': '44985', 'dropped': '25296', 'plan_to_watch': '228413'}, 'num_list_users': 960595}",6
10937,Kidou Senshi Gundam: The Origin,"{'medium': 'https://cdn.myanimelist.net/images/anime/4/72702.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/72702l.jpg'}",2015-02-28,2018-05-05,"In the year 0068 of the Universal Century, Casval Rem Deikun's life is thrown into chaotic disarray after the assassination of his father, a prolific figure in the crusade towards civil rights for people who live away from the Earth's surface. Casval and his sister Artesia receive aid from soldiers who were loyal to their father, and the siblings are whisked away from their home, separated, and thrown into a twisted fate that sees them come into their own as soldiers and adults.

Years before stealing the name Char Aznable or his ""Red Comet"" moniker, Casval must contend with the rise of a militarized version of his father's ideology and his own vengeful nature as intergalactic war molds him into a legendary mobile suit pilot.

[Written by MAL Rewrite]
",8.33,248,2565,77252,32899,white,2011-07-10T11:00:10+00:00,2024-09-04T15:01:39+00:00,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 29, 'name': 'Space'}]",6,"{'year': 2015, 'season': 'winter'}",manga,4268,r+,"Kidou Senshi Gundam: The Origin adapts volumes 5-7 of the manga of the same name by Yoshikazu Yasuhiko, the animation director and character designer for the original Kidou Senshi Gundam.","[{'id': 14, 'name': 'Sunrise'}]","{'status': {'watching': '9496', 'completed': '36362', 'on_hold': '3231', 'dropped': '1172', 'plan_to_watch': '26992'}, 'num_list_users': 77253}",7
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"{'medium': 'https://cdn.myanimelist.net/images/anime/11/79742.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/11/79742l.jpg'}",2014-02-05,2014-02-05,"As the first delicate snowflake touches the cold ground, Nyanko-sensei dozes on his hot-water bottle next to Takashi Natsume. While his aunt prepares a warm dinner, Natsume takes a walk, welcoming the snow and the chilly weather. However, his peaceful promenade is disturbed by a white, fluffy snowman yokai with perturbing black eyes, searching for something warm and sparkly. With no further information, Natsume sets off to help find what the spirit desires.

[Written by MAL Rewrite]
",8.33,250,2472,82378,37157,white,2013-09-27T16:58:30+00:00,2024-03-06T11:35:15+00:00,ova,finished_airing,"[{'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",1,"{'year': 2014, 'season': 'winter'}",manga,1356,pg_13,,"[{'id': 112, 'name': ""Brain's Base""}]","{'status': {'watching': '1969', 'completed': '53337', 'on_hold': '758', 'dropped': '430', 'plan_to_watch': '25880'}, 'num_list_users': 82374}",8
12029,Uchuu Senkan Yamato 2199,"{'medium': 'https://cdn.myanimelist.net/images/anime/2/36607.webp', 'large': 'https://cdn.myanimelist.net/images/anime/2/36607l.webp'}",2012-05-25,2013-10-25,"Earth's once green hills and rich blue oceans have been converted into a desolate wasteland by the relentless onslaught of planet bombs from the expansionist Gamilas Empire. By the year 2199, humankind has retreated to the depths of underground cities to escape the radiation.

However, all hope is not lost, as the distant planet Iscandar offers Earth its final salvation: the Cosmo Reverse System, capable of restoring Earth's irradiated surface. In a desperate bid to retrieve this technology from Iscandar, the Earth Defense Force pours its remaining resources into the Yamato—an innovative, state-of-the-art battleship equipped with an infinite energy Wave Motion Engine.

From young talent such as Tactical Officer Susumu Kodai to accomplished veterans like Captain Juuzou Okita, the Yamato's crew consists of many individuals, all varying in their experience on the battlefield. But despite their differences, one goal unifies them all: to complete their perilous 168,000 light-year voyage to Iscandar and save humanity from imminent doom.

[Written by MAL Rewrite]",8.32,256,1937,118814,39984,white,2011-11-14T10:07:35+00:00,2023-01-14T04:18:42+00:00,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",26,"{'year': 2012, 'season': 'spring'}",original,1500,pg_13,"The series will be sold in the same theaters that show the Yamato movies on the same days, i.e. a simultaneous release.

The first two episodes of the TV series (which is the same as the OVA series) were pre-aired on the Family Gekijou cable and satellite channel on 6th and 7th of April, 2012. The rest of the episodes was aired on MBS & TBS beginning April 7, 2013.","[{'id': 27, 'name': 'Xebec'}, {'id': 48, 'name': 'AIC'}]","{'status': {'watching': '7686', 'completed': '46077', 'on_hold': '4256', 'dropped': '2467', 'plan_to_watch': '58316'}, 'num_list_users': 118802}",9
137,Hunter x Hunter: Original Video Animation,"{'medium': 'https://cdn.myanimelist.net/images/anime/1/137.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1/137l.webp'}",2002-01-17,2002-04-17,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro.",8.31,264,1805,130318,67890,white,2005-11-11T14:49:59+00:00,2023-01-15T04:16:17+00:00,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",8,"{'year': 2002, 'season': 'winter'}",manga,1384,pg_13,,"[{'id': 22, 'name': 'Nippon Animation'}]","{'status': {'watching': '3236', 'completed': '101263', 'on_hold': '1218', 'dropped': '1169', 'plan_to_watch': '23422'}, 'num_list_users': 130308}",10
