id,title,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration,rating,studios,ova_ranking,broadcast_day_of_the_week,broadcast_start_time,start_season_year,start_season_season,statistics_watching,statistics_completed,statistics_on_hold,statistics_dropped,statistics_plan_to_watch,statistics_num_list_users,positive_viewership_fraction,negative_viewership_fraction
820,Ginga Eiyuu Densetsu,1988-01-08,1997-03-17,"The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.

While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.

As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.

[Written by MAL Rewrite]",9.01,12,758,333996,81737,white,ova,finished_airing,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",110,novel,1560,r,"[{'id': 1269, 'name': 'K-Factory'}, {'id': 2256, 'name': 'Kitty Film Mitaka Studio'}]",1,,NIL,1988.0,winter,35292,74880,20469,8978,194368,333987.0,0.9118,0.0882
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,1999-02-20,1999-09-22,"When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute.

Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions.

[Written by MAL Rewrite]",8.7,65,908,281919,140246,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 22, 'name': 'Romance'}, {'id': 21, 'name': 'Samurai'}, {'id': 27, 'name': 'Shounen'}]",4,manga,1747,r,"[{'id': 37, 'name': 'Studio Deen'}]",2,,NIL,1999.0,winter,9039,180993,3851,2430,85595,281908.0,0.9777,0.0223
25781,Shingeki no Kyojin: Kuinaki Sentaku,2014-12-09,2015-04-09,"Many years before becoming the famed captain of the Survey Corps, a young Levi struggles to survive in the capital's garbage dump, the Underground. As the boss of his own criminal operation, Levi attempts to get by with meager earnings while aided by fellow criminals, Isabel Magnolia and Farlan Church. With little hope for the future, Levi accepts a deal from the anti-expedition faction leader Nicholas Lobov, who promises the trio citizenship aboveground if they are able to successfully assassinate Erwin Smith, a squad leader of the Survey Corps.

As Levi and Erwin cross paths, Erwin acknowledges Levi's agility and skill and gives him the option to either become part of the expedition team, or be turned over to the Military Police, to atone for his crimes. Now closer to the man they are tasked to kill, the group plans to complete their mission and save themselves from a grim demise in the dim recesses of their past home. However, they are about to learn that the surface world is not as liberating as they had thought and that sometimes, freedom can come at a heavy price.

Based on the popular spin-off manga of the same name, Shingeki no Kyojin: Kuinaki Sentaku illustrates the encounter between two of Shingeki no Kyojin's pivotal characters, as well as the events of the 23rd expedition beyond the walls.

[Written by MAL Rewrite]",8.41,191,435,533815,318755,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}]",2,visual_novel,1620,r,"[{'id': 858, 'name': 'Wit Studio'}]",3,,NIL,2014.0,fall,11438,454838,3297,1535,62691,533799.0,0.9909,0.0091
30709,Kamisama Hajimemashita: Kako-hen,2015-08-20,2016-08-19,"While playing in the snow one day at her shrine, the land god Nanami Momozono witnesses her familiar—the fox youkai Tomoe—collapse, with dark markings appearing on his body. Tomoe's former master, Lord Mikage, appears after his long absence and places Tomoe into a magical pocket mirror in order to stave off his ailment.

Mikage explains that long ago, before he and Tomoe had met, the fox youkai was in love with a human woman. Seeking to live as a human with his beloved, he made a deal with a fallen god, but he only ended up cursed and dying. When Mikage discovered Tomoe, the god made the youkai forget his human love as a quick solution. However, something has changed recently to reactivate the curse; Tomoe has fallen in love with his new human master, Nanami. Since there is no way to stop the curse, Nanami wants to stop Tomoe from getting cursed in the first place by traveling back through time, even if it means they may never meet. As Nanami travels back hundreds of years to save her precious familiar, she discovers that she is far more closely bonded to Tomoe than she previously thought.

[Written by MAL Rewrite]",8.4,194,1429,173608,85782,white,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 6, 'name': 'Mythology'}, {'id': 22, 'name': 'Romance'}, {'id': 25, 'name': 'Shoujo'}, {'id': 37, 'name': 'Supernatural'}, {'id': 78, 'name': 'Time Travel'}]",4,manga,1800,pg_13,"[{'id': 73, 'name': 'TMS Entertainment'}]",4,,NIL,2015.0,summer,9166,124975,2728,1555,35178,173602.0,0.9753,0.0247
32366,Gintama°: Aizome Kaori-hen,2016-08-04,2016-11-04,"The red-light district, Yoshiwara, is suddenly taken over by ""Aizen Kou,"" an incense that has the ability to make anyone fall in love with the first person they see. Having been outlawed for its strong potency, the love drug was thought to have disappeared from the red-light district for good; however, it seems to have found its way back inside Yoshiwara's walls and now has the entire district under its influence.

Of those affected is the cold-hearted Hyakka captain, Tsukuyo, and the first person she sees after inhaling the smoke is none other than the brazen Yorozuya leader, Gintoki Sakata. Unbeknownst to everyone else though, she was already attracted to Gintoki. With those hidden feelings now intensified, Tsukuyo must overcome her afflictions and work with the Yorozuya to return everyone back to normal. 

[Written by MAL Rewrite]",8.38,211,2355,88167,46670,white,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 20, 'name': 'Parody'}, {'id': 27, 'name': 'Shounen'}]",2,manga,1555,pg_13,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",5,,NIL,2016.0,summer,3135,62995,972,722,20338,88162.0,0.9808,0.0192
777,Hellsing Ultimate,2006-02-10,2012-12-26,"There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead.

Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil.

In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare.

[Written by MAL Rewrite]",8.35,236,182,960650,497186,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 58, 'name': 'Gore'}, {'id': 14, 'name': 'Horror'}, {'id': 38, 'name': 'Military'}, {'id': 42, 'name': 'Seinen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",10,manga,2962,r,"[{'id': 11, 'name': 'Madhouse'}, {'id': 41, 'name': 'Satelight'}, {'id': 894, 'name': 'Graphinica'}]",6,,NIL,2006.0,winter,81678,580223,44985,25296,228413,960595.0,0.9268,0.0732
10937,Kidou Senshi Gundam: The Origin,2015-02-28,2018-05-05,"In the year 0068 of the Universal Century, Casval Rem Deikun's life is thrown into chaotic disarray after the assassination of his father, a prolific figure in the crusade towards civil rights for people who live away from the Earth's surface. Casval and his sister Artesia receive aid from soldiers who were loyal to their father, and the siblings are whisked away from their home, separated, and thrown into a twisted fate that sees them come into their own as soldiers and adults.

Years before stealing the name Char Aznable or his ""Red Comet"" moniker, Casval must contend with the rise of a militarized version of his father's ideology and his own vengeful nature as intergalactic war molds him into a legendary mobile suit pilot.

[Written by MAL Rewrite]
",8.33,248,2565,77252,32899,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 29, 'name': 'Space'}]",6,manga,4268,r+,"[{'id': 14, 'name': 'Sunrise'}]",7,,NIL,2015.0,winter,9496,36362,3231,1172,26992,77253.0,0.943,0.057
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,2014-02-05,2014-02-05,"As the first delicate snowflake touches the cold ground, Nyanko-sensei dozes on his hot-water bottle next to Takashi Natsume. While his aunt prepares a warm dinner, Natsume takes a walk, welcoming the snow and the chilly weather. However, his peaceful promenade is disturbed by a white, fluffy snowman yokai with perturbing black eyes, searching for something warm and sparkly. With no further information, Natsume sets off to help find what the spirit desires.

[Written by MAL Rewrite]
",8.33,250,2472,82378,37157,white,ova,finished_airing,"[{'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",1,manga,1356,pg_13,"[{'id': 112, 'name': ""Brain's Base""}]",8,,NIL,2014.0,winter,1969,53337,758,430,25880,82374.0,0.9856,0.0144
12029,Uchuu Senkan Yamato 2199,2012-05-25,2013-10-25,"Earth's once green hills and rich blue oceans have been converted into a desolate wasteland by the relentless onslaught of planet bombs from the expansionist Gamilas Empire. By the year 2199, humankind has retreated to the depths of underground cities to escape the radiation.

However, all hope is not lost, as the distant planet Iscandar offers Earth its final salvation: the Cosmo Reverse System, capable of restoring Earth's irradiated surface. In a desperate bid to retrieve this technology from Iscandar, the Earth Defense Force pours its remaining resources into the Yamato—an innovative, state-of-the-art battleship equipped with an infinite energy Wave Motion Engine.

From young talent such as Tactical Officer Susumu Kodai to accomplished veterans like Captain Juuzou Okita, the Yamato's crew consists of many individuals, all varying in their experience on the battlefield. But despite their differences, one goal unifies them all: to complete their perilous 168,000 light-year voyage to Iscandar and save humanity from imminent doom.

[Written by MAL Rewrite]",8.32,256,1937,118814,39984,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",26,original,1500,pg_13,"[{'id': 27, 'name': 'Xebec'}, {'id': 48, 'name': 'AIC'}]",9,,NIL,2012.0,spring,7686,46077,4256,2467,58316,118802.0,0.9434,0.0566
137,Hunter x Hunter: Original Video Animation,2002-01-17,2002-04-17,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro.",8.31,264,1805,130318,67890,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",8,manga,1384,pg_13,"[{'id': 22, 'name': 'Nippon Animation'}]",10,,NIL,2002.0,winter,3236,101263,1218,1169,23422,130308.0,0.9817,0.0183
